album_type,album_name,album_year,song_name,song_lyrics
album,12x5,1964,It's All Over Now,"Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
album,12x5,1964,Under The Board Walk,"When the sun beats down. And burns the tar up on the roof. And your shoes get so hot. You wish your tired feet were fireproof. Under the boardwalk. Down by the sea. On a blanket with my baby. Is where I'll be. (Under the boardwalk) Out of the sun. (Under the boardwalk) We'll be having some fun. (Under the boardwalk) People walking above. (Under the boardwalk) We were falling in love. (Under the boardwalk, boardwalk). On the park you'll hear. The happy sound of a carousel. You can almost taste the hot dogs. And french fries they sell. Under the boardwalk. Down by the sea, yeah. On a blanket with my baby. Is where I'll be. (Under the boardwalk) Out of the sun. (Under the boardwalk) We'll be having some fun. (Under the boardwalk) People walking above. (Under the boardwalk) We were falling in love. (Under the boardwalk, boardwalk). Oh, under the boardwalk. Down by the sea. On a blanket with my baby. Is where I'll be. (Under the boardwalk) Out of the sun. (Under the boardwalk) We'll be having some fun. (Under the boardwalk) People walking above. (Under the boardwalk) We were falling in love. (Under the boardwalk, boardwalk)"
album,12x5,1964,Congratulations,"Congratulations. Congratulations. Well done, my friend. You've done it again. You've gone and broken another heart. Yeah, you've torn it apart. You've done it before. Hope to do it some more. You've got it down to a fine art. Remember the first time. You tried to do it to me. My girl won't fall. Just wait and see. Just wait and see. Congratulations. Congratulations. You've gone and broken another heart. Yeah, you've torn it apart. La la, la la la, la la la la (congratulations)"
album,12x5,1964,Grown Up Wrong,"Well, you've grown up all wrong, well you've grown up all wrong. You come on too strong, well you've grown up all wrong. Well, you were easy to fool when you were in school. But you've grown up all wrong. Well, you've grown up on me, well you've grown up on me. Don't believe what I see, well you've grown up on me. Well, you look so sweet when you're in your jeans. But you've grown up on me, raise your hands. Well, you've grown up too fast, well you've grown up too fast. Don't forget about the past, girl you've grown up too fast. Well you won't be a fool but I'm through with you. Well, you've grown up too fast, well you've grown up too fast"
album,12x5,1964,If You Need Me,"If you need me. Why don't you call me. Said if you need me. Why don't you call me. Don't wait too long. When things go wrong. I'll be there, yeah. Where I belong. Said if you want me. Why don't you send for me. Said if you want, want, want. All you gotta do is send for me. Don't wait to long. Just a pick up your phone. I'll be there. Right there, where I belong. People always told me, darling. That you didn't mean me no good. But I know deep down in my heart. I done the best I could. And one of these days, darling. It won't be long. You're gonna come walking through that door. And I know in my mind these are the very. Words you're gonna say to me. I still love you. Always thinking of you. I still love, love, love. Always thinking of you. Don't wait too long. When things go wrong. I'll be there, right there. Where I belong"
album,12x5,1964,Susie Q,"Oh, Susie Q. Oh, Susie Q. Oh, Susie Q. I love you. My Susie Q. I love the way you walk. I love the way you talk. Love the way you walk. I love the way you talk. My Susie Q. Say that you'll be true. Say that you'll be true. Say that you'll be true. And never leave me blue. My Susie Q. Oh, Susie Q. Oh, Susie Q. Oh, Susie Q. Honey I love you. My Susie Q"
album,Unknown,1965,Everybody Needs Somebody To Love,"I'm so glad to be here tonight and I'm so glad to be home. And I believe I've got a message for every woman and every man here tonight that ever needed somebody to love. Someone to stay with them all the time, when they're up and when they're down. You know, sometimes you get what you want, and then you go and lose what you have. And I believe every woman and every man here tonight listen to my song and it save the whole world. Listen to me.. Everybody wants somebody. Everybody wants somebody to love. Someone to love. Someone to kiss. Sometime to miss, now. Someone to squeeze. Someone to please. And I need you you you. I need you you you. I need you you you. I need you you you. Oh, sometimes I feel like. I feel a little sad inside. My baby mistreats me. And I kinda get a little little mad. I need you you you. To see me through, babe. When the sun go down. Ain't nobody else around. That's when I need you baby. That's when I say I love you. That's when I say I love you. Let me hear you say yeah. Let me hear you say yeah. Let me hear you say yeah. Let me hear you say yeah. I need you you you you. Somebody to see me through, baby. I need you you you. I need you you you. I need you you you. When the sun goes down. Ain't nobody else around. That's when I'm all by myself. That's when I need your lovin' darlin'. That's when I need you so bad. You're the one I really need bad [???]. I need you. To see me through baby. In the morning time too. When the sun goes down. Ain't nobody else around. I need your lovin' so bad. Everybody needs somebody to love. I'm not afraid to be by myself but I just need to be somebody to love. All the time. All the time. All the time. All the time. All the time, babe. I said all the time, babe. I said all the time, babe. I need you. I need your lovin' so bad. Let me hear you say yeah. Let me hear you say yeah. Let me hear you say yeah, yeah, yeah. Let me hear you say yeah. Uh, huh, huh, huh. Uh huh, huh huh huh. Yeah, I need you baby so bad bad bad, bad bad, bad bad bad bad. I need you. I need you you you. I need your lovin' babe. I need your lovin' darlin'. Everybody needs somebody. Everybody needs somebody. Everybody needs somebody. [repeat and ad lib]"
album,Unknown,1965,Down Home Girl,"Lord I swear the perfume you wear. Was made out of turnip greens. And everytime I kiss you girl. It tastes like pork and beans. Even though you're wearin' them. Citified high heels. I can tell by your giant step. You been walkin' through the cotton fields. Oh, you're so down home girl. Everytime you monkey child. You take my breath away. And everytime you move like that. I gotta get down and pray. Don't you know that dress of yours. Was made out of fiberglass?. And everytime you move like that. I gotta go to Sunday mass. Oh, you're so down home girl. Oh, you're so down home girl. I'm gonna take you to the muddy river. And push you in. Just to watch the water roll on. Down your velvet skin. I'm gonna take you back to New Orleans. Down in Dixieland. I'm gonna watch you do the second?? line. With an umbrella in your hand. Oh, you're so down home girl. I'm with ya baby. You're so down home. Ow!  Yeah, too much. Outta sight. You're so down home girl"
album,Unknown,1965,You Can't Catch Me,"Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
album,Unknown,1965,Heart Of Stone,"There've been so many girls that I've known. I've made so many cry and still I wonder why. Here comes the little girl. I see her walking down the street. She's all by herself. I try and knock her off her feet. But, she'll never break, never break, never break, never break. This heart of stone. Oh, no, no, this heart of stone. What's different about her? I don't really know. No matter how I try I just can't make her cry. Cause she'll never break, never break, never break, never break. This heart of stone. Oh, no, no, no, this heart of stone. Don't keep on looking that some old way. If you try acting sad, you'll only make me glad. Better listen little girl. You go on walking down the street. I ain't got no love, I ain't the kind to meet. 'Cause you'll never break, never break, never break, never break. This heart of stone. Oh, no, no, you'll never break this heart of stone darlin. No, no, this heart of stone. You'll never break it darlin. You won't break this heart of stone. Oh no no no. You better go. You better go home. Cause you'll, you'll never break this heart of stone"
