song_name,emotion,score
Ventilator Blues,tentative,0.858962
I Just Want To See His Face,joy,0.605894
I Just Want To See His Face,sadness,0.652239
I Just Want To See His Face,tentative,0.964647
Let It Loose,sadness,0.539345
Let It Loose,joy,0.520783
Let It Loose,tentative,0.632469
All Down The Line,fear,0.709267
All Down The Line,sadness,0.552448
All Down The Line,confident,0.9574
Stop Breaking Down,joy,0.540608
Stop Breaking Down,sadness,0.570313
Stop Breaking Down,tentative,0.606057
Shine A Light,joy,0.686991
Shine A Light,tentative,0.73063
Soul Survivor,sadness,0.593506
Soul Survivor,joy,0.551795
Soul Survivor,confident,0.82281
100 Years Ago,sadness,0.592301
100 Years Ago,joy,0.590094
100 Years Ago,tentative,0.851683
Coming Down Again,sadness,0.597357
Doo Doo Doo Doo Doo (Heartbreaker),joy,0.574307
Doo Doo Doo Doo Doo (Heartbreaker),sadness,0.63185
Angie,sadness,0.539043
Angie,joy,0.618857
Angie,confident,0.800215
Silver Train,joy,0.662282
Silver Train,confident,0.567352
Hide Your Love,joy,0.671936
Hide Your Love,sadness,0.578725
Winter,sadness,0.610459
Winter,joy,0.613661
Can You Hear The Music?,joy,0.605923
Can You Hear The Music?,tentative,0.870778
Star Star,joy,0.567895
Star Star,sadness,0.552126
If You Can't Rock Me,sadness,0.670032
If You Can't Rock Me,joy,0.622695
If You Can't Rock Me,tentative,0.940648
Ain't Too Proud To Beg,sadness,0.511951
Ain't Too Proud To Beg,joy,0.640383
It's Only Rock 'N' Roll (But I Like It),joy,0.58359
It's Only Rock 'N' Roll (But I Like It),fear,0.634509
It's Only Rock 'N' Roll (But I Like It),anger,0.603656
It's Only Rock 'N' Roll (But I Like It),sadness,0.639401
It's Only Rock 'N' Roll (But I Like It),tentative,0.899541
Till The Next Goodbye,sadness,0.621639
Till The Next Goodbye,joy,0.553885
Till The Next Goodbye,tentative,0.580357
Time Waits For No One,sadness,0.564046
Time Waits For No One,joy,0.551068
Luxury,joy,0.581846
Luxury,sadness,0.508261
Luxury,confident,0.673979
Dance Little Sister,joy,0.719197
If You Really Want To Be My Friend,sadness,0.618196
If You Really Want To Be My Friend,joy,0.605071
If You Really Want To Be My Friend,analytical,0.827796
If You Really Want To Be My Friend,tentative,0.616396
Short And Curlies,anger,0.576728
Short And Curlies,sadness,0.605406
Short And Curlies,confident,0.741714
Fingerprint File,joy,0.502912
Hot Stuff,fear,0.569635
Hot Stuff,joy,0.578075
Hot Stuff,confident,0.853416
Hand Of Fate,joy,0.524552
Hand Of Fate,sadness,0.656399
Cherry Oh Baby,joy,0.610965
Memory Motel,sadness,0.610931
Memory Motel,joy,0.606349
Memory Motel,tentative,0.774625
"Hey, Negrita",joy,0.527613
"Hey, Negrita",fear,0.574695
Melody,sadness,0.511511
Melody,joy,0.562548
Melody,tentative,0.745011
Fool To Cry,sadness,0.698634
Fool To Cry,joy,0.595213
Fool To Cry,tentative,0.617615
Crazy Mama,joy,0.534932
Crazy Mama,fear,0.520817
Crazy Mama,anger,0.548529
Crazy Mama,tentative,0.649044
Miss You,sadness,0.562446
Miss You,joy,0.532052
Miss You,tentative,0.760416
When The Whip Comes Down,joy,0.565192
Just My Imagination (Running Away With Me),joy,0.615441
Just My Imagination (Running Away With Me),sadness,0.504995
Just My Imagination (Running Away With Me),tentative,0.806652
Some Girls,joy,0.552193
Some Girls,anger,0.536437
Some Girls,tentative,0.797619
Lies,anger,0.670207
Lies,fear,0.685543
Lies,sadness,0.737843
Far Away Eyes,joy,0.592351
Far Away Eyes,sadness,0.543568
Respectable,joy,0.553326
Before They Make Me Run,sadness,0.547233
Before They Make Me Run,joy,0.635505
Before They Make Me Run,analytical,0.510072
Beast Of Burden,joy,0.603676
Beast Of Burden,sadness,0.600348
Beast Of Burden,tentative,0.880388
Shattered,sadness,0.656484
Shattered,joy,0.589309
Shattered,analytical,0.503393
Dance,sadness,0.567697
Dance,joy,0.511673
Dance,tentative,0.50488
Summer Romance,joy,0.59329
Summer Romance,tentative,0.630964
Send It To Me,sadness,0.579133
Send It To Me,tentative,0.705883
Let Me Go,sadness,0.559275
Let Me Go,joy,0.578551
Let Me Go,tentative,0.540562
Indian Girl,joy,0.581999
Indian Girl,sadness,0.618416
Where The Boys Go,joy,0.620807
Where The Boys Go,confident,0.801237
Down In The Hole,sadness,0.591979
Down In The Hole,tentative,0.606366
Emotional Rescue,joy,0.541242
Emotional Rescue,sadness,0.686982
She's So Cold,joy,0.628418
All About You,sadness,0.546009
All About You,joy,0.544933
All About You,tentative,0.86184
Start Me Up,joy,0.554704
Start Me Up,sadness,0.635304
Start Me Up,analytical,0.601949
Hang Fire,sadness,0.605677
Hang Fire,joy,0.564348
Hang Fire,anger,0.601793
Slave,tentative,0.876678
Little T & A,joy,0.548147
Little T & A,anger,0.587654
Black Limousine,sadness,0.560707
Black Limousine,fear,0.690457
Black Limousine,joy,0.595078
Black Limousine,analytical,0.962247
Neighbours,anger,0.578497
Neighbours,joy,0.610604
Neighbours,tentative,0.862686
Worried About You,joy,0.62261
Worried About You,fear,0.665222
Worried About You,sadness,0.659563
Worried About You,tentative,0.940416
Tops,joy,0.663309
Heaven,sadness,0.705724
No Use In Crying,sadness,0.592581
No Use In Crying,tentative,0.728785
Waiting On A Friend,sadness,0.601336
Waiting On A Friend,tentative,0.956286
Undercover Of The Night,joy,0.546611
Undercover Of The Night,confident,0.942124
She Was Hot,joy,0.567746
She Was Hot,sadness,0.564229
She Was Hot,tentative,0.568154
Tie You Up (The Pain Of Love),sadness,0.587904
Tie You Up (The Pain Of Love),joy,0.534172
Wanna Hold You,joy,0.641508
Feel On Baby,joy,0.647509
Feel On Baby,sadness,0.535291
Feel On Baby,tentative,0.972843
Too Much Blood,joy,0.621586
Too Much Blood,tentative,0.88456
Pretty Beat Up,joy,0.678615
Pretty Beat Up,tentative,0.997088
Too Tough,joy,0.590072
Too Tough,sadness,0.61151
Too Tough,tentative,0.774175
All The Way Down,joy,0.520686
All The Way Down,confident,0.988384
It Must Be Hell,anger,0.559924
It Must Be Hell,sadness,0.613806
One Hit (To The Body),joy,0.579404
One Hit (To The Body),sadness,0.548908
Fight,joy,0.587101
Harlem Shuffle,joy,0.598325
Harlem Shuffle,tentative,0.667502
Hold Back,anger,0.601913
Hold Back,sadness,0.599915
Too Rude,sadness,0.714507
Too Rude,fear,0.691124
Too Rude,anger,0.637036
Too Rude,confident,0.548588
Winning Ugly,sadness,0.607451
Winning Ugly,joy,0.62072
Back To Zero,fear,0.525891
Dirty Work,sadness,0.545589
Dirty Work,joy,0.569389
Dirty Work,anger,0.668273
Dirty Work,tentative,0.907917
Had It With You,sadness,0.600233
Had It With You,joy,0.568345
Sleep Tonight,joy,0.662949
Sleep Tonight,sadness,0.501962
Sleep Tonight,tentative,0.882708
Sad Sad Sad,sadness,0.667412
Mixed Emotions,sadness,0.608607
Mixed Emotions,joy,0.592336
Terrifying,joy,0.517361
Terrifying,fear,0.625197
Terrifying,anger,0.599895
Terrifying,sadness,0.572081
Hold On To Your Hat,sadness,0.708672
Hold On To Your Hat,fear,0.690852
Hold On To Your Hat,joy,0.530155
Hold On To Your Hat,anger,0.548334
Hold On To Your Hat,confident,0.824354
Hearts For Sale,sadness,0.512559
Hearts For Sale,joy,0.561614
Blinded By Love,joy,0.647914
Blinded By Love,sadness,0.545191
Rock And A Hard Place,sadness,0.612809
Can't Be Seen,fear,0.57553
Can't Be Seen,joy,0.553207
Can't Be Seen,tentative,0.976532
Almost Hear You Sigh,joy,0.623076
Almost Hear You Sigh,sadness,0.633826
Almost Hear You Sigh,tentative,0.698156
Continental Drift,joy,0.676158
Continental Drift,confident,0.856574
Break The Spell,sadness,0.585793
Break The Spell,confident,0.70833
Slipping Away,joy,0.554907
Slipping Away,sadness,0.669516
Slipping Away,tentative,0.939317
Love Is Strong,sadness,0.637012
Love Is Strong,fear,0.631812
Love Is Strong,joy,0.681934
Love Is Strong,tentative,0.772304
You Got Me Rocking,sadness,0.566837
You Got Me Rocking,joy,0.611756
Sparks Will Fly,joy,0.621509
Sparks Will Fly,anger,0.501651
Sparks Will Fly,sadness,0.559225
The Worst,sadness,0.595964
The Worst,fear,0.679919
The Worst,tentative,0.778329
New Faces,sadness,0.593904
New Faces,joy,0.578597
Moon Is Up,joy,0.584996
Out Of Tears,sadness,0.685974
Out Of Tears,fear,0.685124
Out Of Tears,joy,0.509252
I Go Wild,anger,0.539694
I Go Wild,sadness,0.579618
Brand New Car,joy,0.563676
Brand New Car,tentative,0.797832
Sweethearts Together,sadness,0.522631
Sweethearts Together,joy,0.631418
Suck On The Jugular,anger,0.500676
Suck On The Jugular,joy,0.588026
Suck On The Jugular,confident,0.96355
Blinded By Rainbows,joy,0.524247
Blinded By Rainbows,fear,0.624144
Blinded By Rainbows,sadness,0.622929
Baby Break It Down,sadness,0.554
Baby Break It Down,joy,0.584989
Baby Break It Down,tentative,0.619679
Thru And Thru,joy,0.634478
Thru And Thru,tentative,0.871344
Mean Disposition,joy,0.600266
Mean Disposition,analytical,0.630451
Street Fighting Man,sadness,0.581033
Street Fighting Man,joy,0.519157
